Chain,Chain ID,Market,Market Type,Market Status,Asset,Borrowable,Collateral,Notes,Supply Rate,Supply Link,Borrow Rate,Borrow Link
Base,8453,AlphaGrowth Earn USDC,EulerEarn,Active,USDC,No,No,Earn deposit asset; not an EVK borrowable/collateral role. Active and owned by the AlphaGrowth multisig,9.31%,https://app.euler.finance/earn/0xC72F073A311e037d4bc909FedAE94De38494EE5b?network=8453,,
Base,8453,Base AI,EVK,Active,AERO,Yes,Yes,Borrowable and collateral Asset status: Active. Active replacement,0.00%,https://app.euler.finance/lend/0x9F876520F1937D4B4f6F4DefE29fa5EA6d4526d0?network=8453,0.11%,https://app.euler.finance/borrow/0xC64FD6138f980a5587412dAC75E04363046aE32E/0x9F876520F1937D4B4f6F4DefE29fa5EA6d4526d0?network=8453&tab=multiply
Base,8453,Base AI,EVK,Active,USDC,Yes,Yes,Borrowable and collateral Asset status: Active. Active replacement,6.03%,https://app.euler.finance/lend/0xEef57677c2FC1a930eed234E3545e750C88f6743?network=8453,8.60%,https://app.euler.finance/borrow/0x13632ED686495b1F5E7F81dcc5977AB55aAb98A4/0xEef57677c2FC1a930eed234E3545e750C88f6743?network=8453&tab=multiply
Base,8453,Base AI,EVK,Active,VIRTUAL,Yes,Yes,Borrowable and collateral Asset status: Active. Active replacement,0.00%,https://app.euler.finance/lend/0x6aE4eCc3C9467c587AA4953365E0d8454fe77EF1?network=8453,0.00%,https://app.euler.finance/borrow/0xC64FD6138f980a5587412dAC75E04363046aE32E/0x6aE4eCc3C9467c587AA4953365E0d8454fe77EF1?network=8453&tab=multiply
Base,8453,Base AI,EVK,Active,VVV,Yes,Yes,Borrowable and collateral Asset status: Active. Active replacement,0.00%,https://app.euler.finance/lend/0x13632ED686495b1F5E7F81dcc5977AB55aAb98A4?network=8453,0.00%,https://app.euler.finance/borrow/0xC64FD6138f980a5587412dAC75E04363046aE32E/0x13632ED686495b1F5E7F81dcc5977AB55aAb98A4?network=8453&tab=multiply
Base,8453,Base AI,EVK,Active,WETH,Yes,Yes,Borrowable and collateral Asset status: Active. Active replacement,1.20%,https://app.euler.finance/lend/0xC64FD6138f980a5587412dAC75E04363046aE32E?network=8453,2.71%,https://app.euler.finance/borrow/0x13632ED686495b1F5E7F81dcc5977AB55aAb98A4/0xC64FD6138f980a5587412dAC75E04363046aE32E?network=8453&tab=multiply
Base,8453,Base AI,EVK,Active,ZRO,Yes,Yes,Borrowable and collateral Asset status: Active. Active replacement,0.00%,https://app.euler.finance/lend/0xcf8f0E47Cd510938FDD445Cf1A24108A681743A6?network=8453,0.00%,https://app.euler.finance/borrow/0xC64FD6138f980a5587412dAC75E04363046aE32E/0xcf8f0E47Cd510938FDD445Cf1A24108A681743A6?network=8453&tab=multiply
Base,8453,Base Market,EVK,Active,AERO,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.40%,https://app.euler.finance/lend/0x5Fe2DE3E565a6a501a4Ec44AAB8664b1D674ac25?network=8453,1.80%,https://app.euler.finance/borrow/0x0A1a3b5f2041F33522C4efc754a7D096f880eE16/0x5Fe2DE3E565a6a501a4Ec44AAB8664b1D674ac25?network=8453&tab=multiply
Base,8453,Base Market,EVK,Active,cbBTC,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x882018411Bc4A020A879CEE183441fC9fa5D7f8B?network=8453,0.03%,https://app.euler.finance/borrow/0x0A1a3b5f2041F33522C4efc754a7D096f880eE16/0x882018411Bc4A020A879CEE183441fC9fa5D7f8B?network=8453&tab=multiply
Base,8453,Base Market,EVK,Active,cbETH,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x358f25F82644eaBb441d0df4AF8746614fb9ea49?network=8453,0.01%,https://app.euler.finance/borrow/0x0A1a3b5f2041F33522C4efc754a7D096f880eE16/0x358f25F82644eaBb441d0df4AF8746614fb9ea49?network=8453&tab=multiply
Base,8453,Base Market,EVK,Active,LBTC,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x3f0d3Fd87A42BDaa3dfCC13ADA42eA922e638a7A?network=8453,0.02%,https://app.euler.finance/borrow/0x0A1a3b5f2041F33522C4efc754a7D096f880eE16/0x3f0d3Fd87A42BDaa3dfCC13ADA42eA922e638a7A?network=8453&tab=multiply
Base,8453,Base Market,EVK,Active,USDC,Yes,Yes,Borrowable and collateral Asset status: Active. Active,5.16%,https://app.euler.finance/lend/0x0A1a3b5f2041F33522C4efc754a7D096f880eE16?network=8453,6.36%,https://app.euler.finance/borrow/0x358f25F82644eaBb441d0df4AF8746614fb9ea49/0x0A1a3b5f2041F33522C4efc754a7D096f880eE16?network=8453&tab=multiply
Base,8453,Base Market,EVK,Active,weETH,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0xd4A805261B28f375fc9c3d89EcD2C952Cd130d14?network=8453,0.01%,https://app.euler.finance/borrow/0x0A1a3b5f2041F33522C4efc754a7D096f880eE16/0xd4A805261B28f375fc9c3d89EcD2C952Cd130d14?network=8453&tab=multiply
Base,8453,Base Market,EVK,Active,WETH,Yes,Yes,Borrowable and collateral Asset status: Active. Active,1.02%,https://app.euler.finance/lend/0x859160DB5841E5cfB8D3f144C6b3381A85A4b410?network=8453,1.73%,https://app.euler.finance/borrow/0x358f25F82644eaBb441d0df4AF8746614fb9ea49/0x859160DB5841E5cfB8D3f144C6b3381A85A4b410?network=8453&tab=multiply
Base,8453,Base Market,EVK,Active,wstETH,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x7b181d6509DEabfbd1A23aF1E65fD46E89572609?network=8453,0.02%,https://app.euler.finance/borrow/0x0A1a3b5f2041F33522C4efc754a7D096f880eE16/0x7b181d6509DEabfbd1A23aF1E65fD46E89572609?network=8453&tab=multiply
Base,8453,Base RWA,EVK,Active; includes legacy/sunset vaults,reUSD,No,Yes,Collateral only Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x81744B5B5527852832F2dd3554C191d3B1342108?network=8453,,
Base,8453,Base RWA,EVK,Active; includes legacy/sunset vaults,USDC,Yes,No,Borrowable only Asset status: Active. Active,9.76%,https://app.euler.finance/lend/0x4C1aeda9B43EfcF1da1d1755b18802aAbe90f61E?network=8453,11.58%,https://app.euler.finance/borrow/0x2645CBAF62F2f336B0e988375d7e6bCAb66A296C/0x4C1aeda9B43EfcF1da1d1755b18802aAbe90f61E?network=8453&tab=multiply
Base,8453,Base RWA,EVK,Active; includes legacy/sunset vaults,wtCOIN,No,Yes,Collateral only Asset status: Active; includes legacy/sunset vaults. Inactive; all core EVK operations disabled; Active replacement,0.00%,https://app.euler.finance/lend/0x2645CBAF62F2f336B0e988375d7e6bCAb66A296C?network=8453,,
Base,8453,Base RWA,EVK,Active; includes legacy/sunset vaults,wtMSTR,No,Yes,Collateral only Asset status: Active; includes legacy/sunset vaults. Inactive; all core EVK operations disabled; Active replacement,0.00%,https://app.euler.finance/lend/0xD864d46c62685A6062A722AFD7C8c978c410aAaF?network=8453,,
Base,8453,Base RWA,EVK,Active; includes legacy/sunset vaults,wtSPYM,No,Yes,Collateral only Asset status: Active; includes legacy/sunset vaults. Inactive; all core EVK operations disabled; Active replacement,0.00%,https://app.euler.finance/lend/0xd54d33dA9C326AEE7513cEFdedA5c93a41809caD?network=8453,,
